keyword,context,title,author,topic
marriage,"of their ideals. altogether the marriage of isaac, though rather prosaic,",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,beautiful and chaste appear the marriage customs of the bible as,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,modern times. many instances of marriage en chemise are on record,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,fears the influence of jacob's marriage with a daughter of the,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,of water to the thirsty. marriage was as simple a contract,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,in or out of the marriage relation. when one or another,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,and disguised by show--in the marriage sentiments of our own civilization.,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,why the single one of marriage to one husband was allowed,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"in affliction and at the marriage feast, in the saddest and",The Woman's Bible,Elizabeth Cady Stanton,-1
marriage,"which was followed by the marriage of julia the following spring,",The Woman's Bible,Elizabeth Cady Stanton,5
marriage,and mobs. xiv. views on marriage and divorce. xv. women as,The Woman's Bible,Elizabeth Cady Stanton,5
marriage,not like her views of marriage and divorce. but when all,The Woman's Bible,Elizabeth Cady Stanton,1
marriage,"and that as age made marriage with her undesirable, ruth would",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"proselyte to her faith, her marriage with boaz was in accordance",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"proselyte to her faith, her marriage with boaz was in accordance",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,the religious observances and the marriage festivities. they were not as,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,the season of courtship and marriage with much sentiment or romance.,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,that the children of the marriage should be brought up in,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,jesus reminded the sadducees that marriage was intended only for the,The Woman's Bible,Elizabeth Cady Stanton,-1
marriage,pleasures pure and angelic. the marriage relation seems to have been,The Woman's Bible,Elizabeth Cady Stanton,-1
marriage,"come together to celebrate the marriage feast of science and religion,",The Woman's Bible,Elizabeth Cady Stanton,-1
marriage,the widespread preparation for the marriage feast of science and religion;,The Woman's Bible,Elizabeth Cady Stanton,-1
marriage,put asunder. the question of marriage was a constant theme for,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"unmistakable definition as to what marriage is: ""whoever puts away his",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"of unchastity, which violates the marriage covenant, commits adultery."" hence, under",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,in all social relations the marriage problem might be easily solved.,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,an equal interest in the marriage and divorce laws; and common,The Woman's Bible,Elizabeth Cady Stanton,-1
marriage,third day there was a marriage in cana of galilee; and,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,third day there was a marriage in cana of galilee; and,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"second time was at the marriage feast in cana, when he",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,marriage. the pythagoreans taught that marriage is unfavorable to high intellectual,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,marriage. the pythagoreans taught that marriage is unfavorable to high intellectual,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,in state. it has debased marriage and made both canon and,The Woman's Bible,Elizabeth Cady Stanton,-1
marriage,"and property. canon law created marriage a sacrament ""to be performed",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,of any christian land. monogamic marriage is the strongest institution of,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"testament, were celibates and condemned marriage by both precept and example.",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"as a sheep at the marriage altar, classed with the ox",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"in cities of greece, where marriage was bitter slavery to women.",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,paul was aiming to uplift marriage to the level of the,The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"deny that it is a marriage mart, but denial does not",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"deny that it is a marriage mart, but denial does not",The Woman's Bible,Elizabeth Cady Stanton,2
marriage,"nature, do they imagine that marriage can eradicate the habitude of",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,"a paradox, that an unhappy marriage is often very advantageous to",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,"are prepared for professions, and marriage is not considered as the",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,"or the very purpose of marriage would be subverted, and all",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,"required of women in the marriage state, comes under this description;",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,confidence of habitual esteem. before marriage they will not assume any,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,girl of fortune. before the marriage could take place she is,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,in their lives; and after marriage calmly let passion subside into,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,that so frequently renders the marriage state unhappy. why in the,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,"are not slaves in the marriage state. true, but they then",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,of relationships that render the marriage state as necessary as respectable.,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,"to be educated together. if marriage be the cement of society,",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,"is independent of another. nay, marriage will never be held sacred",A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,they are all rivals. before marriage it is their business to,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,they are all rivals. before marriage it is their business to,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,of the observation. for as marriage has been termed the parent,A Vindication of the Rights of Woman,Mary Wollstonecraft,1
marriage,and a standard within herself; marriage and all other relations would,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,and a standard within herself; marriage and all other relations would,Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"the essential nature of the marriage bond: ""i grant i am",Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"essential nature of the marriage bond: ""i grant i am",Woman in the Nineteenth Century,Margaret Fuller,1
marriage,the ideal of love and marriage rose high in the mind,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,of mere temporal happiness. their marriage is vowed at the stake;,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,"dissonant. lord herbert's was a marriage of convention, made for him",Woman in the Nineteenth Century,Margaret Fuller,19
marriage,the best instances of a marriage of friendship. it was only,Woman in the Nineteenth Century,Margaret Fuller,1
marriage,the best instances of a marriage of friendship. it was only,Woman in the Nineteenth Century,Margaret Fuller,1
marriage,around her the contract of marriage made the seal of degradation.,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,these are all instances of marriage as intellectual companionship. the parties,Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"fourth and highest grade of marriage union is the religious, which",Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,old maids have been regarded. marriage is the natural means of,Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"with this, his ideas of marriage were lofty, and, of course,",Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"it will help her to marriage or not."" ""no,"" he persisted,",Woman in the Nineteenth Century,Margaret Fuller,1
marriage,her progress. his idea of marriage is consequently sufficient. man and,Woman in the Nineteenth Century,Margaret Fuller,1
marriage,progress. his idea of marriage is consequently sufficient. man and,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,pass to the countries where marriage is between one and one.,Woman in the Nineteenth Century,Margaret Fuller,2
marriage,"polygamy, europe passed to the marriage _de convenance_. this was scarcely",Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,then made to substitute genuine marriage (the mutual choice of souls,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,"can be united in the marriage of souls, will you give",Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"you give him in the marriage _de convenance_? or, if not",Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"who had been given in marriage ""by advice of friends,"" was",Woman in the Nineteenth Century,Margaret Fuller,1
marriage,"them, there was nothing in marriage to attract. but l---- was",Woman in the Nineteenth Century,Margaret Fuller,19
marriage,day or a week. the marriage was hurried on; l---- intent,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,she wished to have her marriage broken. she urged her father,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,"her desire of having her marriage broken, and when she urged",Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,having profaned the holiness of marriage by such an union. their,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,as to his soliciting a marriage with me when too childish,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,of the sanctity of the marriage vow. it was not to,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,roof till she married; did marriage give her a sure home,Woman in the Nineteenth Century,Margaret Fuller,1
marriage,of the civilized world. the marriage of convention has done its,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,"france, till breach of the marriage vow has become one of",Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,we believe that nature wills marriage and parentage to be kept,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,which you speak of my marriage is such as i expected,Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,"thee; wake to thy sister's marriage happily."" we understand the horror",Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,"woman should be. such was marriage in eden when ""erect to",Woman in the Nineteenth Century,Margaret Fuller,-1
marriage,the conversation turned to this marriage and to her removal into,Strife and Peace,Fredrika Bremer,-1
marriage,everything ready for one's own marriage in the belief that one,Strife and Peace,Fredrika Bremer,-1
marriage,"journey to trondhjem, where her marriage was to be celebrated at",Strife and Peace,Fredrika Bremer,4
marriage,"journey to trondhjem, where her marriage was to be celebrated at",Strife and Peace,Fredrika Bremer,34
marriage,"when he had attended the marriage of alette, he had travelled",Strife and Peace,Fredrika Bremer,-1
marriage,"to marry him. for in marriage a little licence, a little",Mrs Dalloway,Virginia Woolf,-1
marriage,"part them (they spoke of marriage always as a catastrophe), which",Mrs Dalloway,Virginia Woolf,-1
marriage,"he dropped her hand. their marriage was over, he thought, with",Mrs Dalloway,Virginia Woolf,-1
marriage,"she was dead. and the marriage had been, sally supposed, a",Mrs Dalloway,Virginia Woolf,-1
marriage,"a short note, announcing her marriage with heathcliff. it appeared dry",Wuthering Heights,Emily Brontë,-1
marriage,"by anne boleyn before her marriage to henry viii, and now",An Old-Fashioned Girl,Louisa May Alcott,22
marriage,"would ever consent to a marriage between you? and _you_,—_you_ to",The Mill on the Floss,George Eliot,-1
marriage,any prospect of love and marriage between her and philip as,The Mill on the Floss,George Eliot,-1
marriage,any prospect of love and marriage between her and philip as,The Mill on the Floss,George Eliot,0
marriage,think of any connection by marriage with such people as the,The Mill on the Floss,George Eliot,-1
marriage,"equally perverse, but entirely different,—a marriage with philip wakem. chapter xiii.",The Mill on the Floss,George Eliot,-1
marriage,marry him. what a wonderful marriage for a girl like miss,The Mill on the Floss,George Eliot,-1
marriage,the idea of an ultimate marriage between stephen and maggie as,The Mill on the Floss,George Eliot,13
marriage,made the consent to the marriage a desecration to her; her,The Mill on the Floss,George Eliot,13
marriage,now their dread of a marriage between stephen and maggie added,The Mill on the Floss,George Eliot,-1
marriage,"our family circle was the marriage of my oldest sister, tryphena,",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,would never consent to my marriage with an abolitionist. he felt,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"most hilarious occasion at the marriage of mary cochrane, sister of",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,for me and painting the marriage relation in the most dazzling,Eighty Years and More,Elizabeth Cady Stanton,4
marriage,afraid of going through the marriage ceremony on friday for fear,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"the word ""obey"" in the marriage ceremony. as i obstinately refused",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"and freedom."" soon after our marriage we spent a few days",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,should unite his destinies in marriage with a political slave and,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,women. chapter xiv. views on marriage and divorce. the widespread discussion,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"now, on the subject of marriage and divorce, reminds me of",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"of all, in saying that marriage was a question beyond the",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,total reconstruction of the whole marriage system; for any attempt to,Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"that, as the laws on marriage and divorce were very unequal",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"mr. phillips said that as marriage concerned man and woman alike,",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"mr. phillips said that as marriage concerned man and woman alike,",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"phillips' motion, and claimed that marriage and divorce were legitimate subjects",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,platform--from that i totally dissent. marriage has ever been a one-sided,Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"regards the terms of the marriage compact. by law, public sentiment,",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"the relation. she must accept marriage as man proffers it, or",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"of the inequality of the marriage laws, that rob the wife",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"phillips, that the laws on marriage and divorce were equal for",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"phillips, that the laws on marriage and divorce were equal for",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,object to the question of marriage and divorce as irrelevant to,Eighty Years and More,Elizabeth Cady Stanton,5
marriage,sexes; that the laws on marriage and divorce rested equally on,Eighty Years and More,Elizabeth Cady Stanton,5
marriage,cite one clause of the marriage contract where woman has the,Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"and woman. ""the contract of marriage is by no means equal.",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,says: 'the legal effects of marriage are generally deducible from the,Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"that the violation of the marriage vow, on the part of",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"that the violation of the marriage vow, on the part of",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,letter and spirit of the marriage contract based on the idea,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,franchise. it is only in marriage that she must demand her,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"now, whether the institution of marriage be human or divine, whether",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,discussion on the question of marriage and divorce occupied one entire,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,discussion on the question of marriage and divorce occupied one entire,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,on for a definition of marriage and asked to describe home,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,shall make the laws of marriage and divorce the same in,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"most important factor in the marriage relation, her enfranchisement is the",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"talk of the sacredness of marriage and maternity, while the wife",Eighty Years and More,Elizabeth Cady Stanton,1
marriage,"the union wanting, and the marriage practically annulled? it cannot be",Eighty Years and More,Elizabeth Cady Stanton,1
marriage,"then, the real object of marriage is defeated, it is for",Eighty Years and More,Elizabeth Cady Stanton,1
marriage,"property, and then sunder the marriage tie and leave the poor",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,"word ""obey"" out of their marriage ceremony. i heard the most",Eighty Years and More,Elizabeth Cady Stanton,5
marriage,a brief history of the marriage institution in all times and,Eighty Years and More,Elizabeth Cady Stanton,5
marriage,a brief history of the marriage institution in all times and,Eighty Years and More,Elizabeth Cady Stanton,2
marriage,"the word ""obey"" from the marriage ceremony which he introduced, two",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,by methodist bishops. the episcopal marriage service not only still clings,Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"the word ""obey"" in the marriage service should be removed for",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"ever. this was the last marriage service he ever performed, and",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,"creation, her sex a misfortune, marriage a condition of subordination, and",Eighty Years and More,Elizabeth Cady Stanton,2
marriage,"in england and america. ""is marriage a failure?"" furnished the heading",Eighty Years and More,Elizabeth Cady Stanton,-1
marriage,she knows how much the marriage is to miss taylor’s advantage;,Emma,Jane Austen,-1
marriage,expression of congratulation which her marriage had already secured. she felt,Emma,Jane Austen,0
marriage,varied; and since mrs. weston’s marriage her exercise had been too,Emma,Jane Austen,-1
marriage,varied; and since mrs. weston’s marriage her exercise had been too,Emma,Jane Austen,0
marriage,"may not find offers of marriage flow in so fast, though",Emma,Jane Austen,0
marriage,every long vacation since their marriage had been divided between hartfield,Emma,Jane Austen,-1
marriage,frequently thought—especially since his father’s marriage with miss taylor—that if she,Emma,Jane Austen,0
marriage,mrs. bates’s youngest daughter. the marriage of lieut. fairfax of the,Emma,Jane Austen,-1
marriage,"unabated regard however, till the marriage of miss campbell, who by",Emma,Jane Austen,0
marriage,"it.—though always objecting to every marriage that was arranged, he never",Emma,Jane Austen,0
marriage,"it.—though always objecting to every marriage that was arranged, he never",Emma,Jane Austen,0
marriage,as much happiness in the marriage state as he had done.—i,Emma,Jane Austen,0
marriage,so very bad if the marriage did take place. mrs. weston,Emma,Jane Austen,0
marriage,"and her own, for a marriage between frank and emma. how",Emma,Jane Austen,0
marriage,knightley.—they had determined that their marriage ought to be concluded while,Emma,Jane Austen,0
marriage,never yet alluded to their marriage but as a distant event.,Emma,Jane Austen,0
marriage,within a month from the marriage of mr. and mrs. robert,Emma,Jane Austen,0
marriage,for a twelvemonth. happiness in marriage is entirely a matter of,Pride and Prejudice,Jane Austen,30
marriage,that the probability of their marriage was exceedingly agreeable to _her_.,Pride and Prejudice,Jane Austen,0
marriage,all the felicity which a marriage of true affection could bestow;,Pride and Prejudice,Jane Austen,30
marriage,certain that another offer of marriage may ever be made you.,Pride and Prejudice,Jane Austen,0
marriage,"looks for happiness in the marriage state. if, therefore, she actually",Pride and Prejudice,Jane Austen,0
marriage,"“very well--and this offer of marriage you have refused?” “i have,",Pride and Prejudice,Jane Austen,0
marriage,"on refusing every offer of marriage in this way, you will",Pride and Prejudice,Jane Austen,0
marriage,"of men or of matrimony, marriage had always been her object:",Pride and Prejudice,Jane Austen,0
marriage,can boast on entering the marriage state.” elizabeth quietly answered “undoubtedly;”,Pride and Prejudice,Jane Austen,0
marriage,collins’s making two offers of marriage within three days was nothing,Pride and Prejudice,Jane Austen,0
marriage,inconvenience to mrs. bennet. his marriage was now fast approaching; and,Pride and Prejudice,Jane Austen,0
marriage,inconvenience to mrs. bennet. his marriage was now fast approaching; and,Pride and Prejudice,Jane Austen,0
marriage,should receive an offer of marriage from mr. darcy! that he,Pride and Prejudice,Jane Austen,0
marriage,reason. my objections to the marriage were not merely those which,Pride and Prejudice,Jane Austen,0
marriage,had very early in their marriage put an end to all,Pride and Prejudice,Jane Austen,0
marriage,be delayed. imprudent as a marriage between mr. wickham and our,Pride and Prejudice,Jane Austen,0
marriage,"of detection? why must their marriage be private? oh, no, no--this",Pride and Prejudice,Jane Austen,0
marriage,thousand pounds was settled by marriage articles on mrs. bennet and,Pride and Prejudice,Jane Austen,0
marriage,"damp to her triumph. the marriage of a daughter, which had",Pride and Prejudice,Jane Austen,-1
marriage,"a privilege, without which her marriage would scarcely seem valid, exceeded",Pride and Prejudice,Jane Austen,-1
marriage,"a privilege, without which her marriage would scarcely seem valid, exceeded",Pride and Prejudice,Jane Austen,0
marriage,her sister; for since her marriage would so shortly give the,Pride and Prejudice,Jane Austen,0
marriage,impassable between them. had lydia’s marriage been concluded on the most,Pride and Prejudice,Jane Austen,0
marriage,importance. but no such happy marriage could now teach the admiring,Pride and Prejudice,Jane Austen,0
marriage,"added, “as soon as his marriage was fixed on. and i",Pride and Prejudice,Jane Austen,0
marriage,"should be noticed on her marriage by her parents, urged him",Pride and Prejudice,Jane Austen,0
marriage,"had his character and his marriage been exactly what they ought,",Pride and Prejudice,Jane Austen,-1
marriage,"there.” “perhaps preparing for his marriage with miss de bourgh,” said",Pride and Prejudice,Jane Austen,0
marriage,"would be accomplished, is their marriage to be prevented by a",Pride and Prejudice,Jane Austen,0
marriage,the wished-for promise make _their_ marriage at all more probable? supposing,Pride and Prejudice,Jane Austen,0
marriage,would be violated by my marriage with mr. darcy. and with,Pride and Prejudice,Jane Austen,0
marriage,forgotten to feel that the marriage of her sister must bring,Pride and Prejudice,Jane Austen,-1
marriage,enumerating the miseries of a marriage with _one_ whose immediate connections,Pride and Prejudice,Jane Austen,0
marriage,"mentioning the likelihood of this marriage to her ladyship last night,",Pride and Prejudice,Jane Austen,0
marriage,not run hastily into a marriage which has not been properly,Pride and Prejudice,Jane Austen,0
marriage,their living together before the marriage took place should be so,Pride and Prejudice,Jane Austen,0
marriage,her brother on his approaching marriage were all that was affectionate,Pride and Prejudice,Jane Austen,0
marriage,suffered no revolution from the marriage of her sisters.,Pride and Prejudice,Jane Austen,0
marriage,suffered no revolution from the marriage of her sisters. he bore,Pride and Prejudice,Jane Austen,-1
marriage,"received from lydia on her marriage explained to her that, by",Pride and Prejudice,Jane Austen,-1
marriage,claims to reputation which her marriage had given her. though darcy,Pride and Prejudice,Jane Austen,-1
marriage,claims to reputation which her marriage had given her. though darcy,Pride and Prejudice,Jane Austen,0
marriage,was extremely indignant on the marriage of her nephew; and as,Pride and Prejudice,Jane Austen,0
marriage,the cold glass passionately. her marriage to léonce pontellier was purely,The Awakening,Kate Chopin,-1
marriage,"her sister margaret to her marriage with a catholic, and we",The Awakening,Kate Chopin,-1
marriage,"which would have been a marriage with the tragedian, was not",The Awakening,Kate Chopin,-1
marriage,me he doesn’t want his marriage to interrupt wholly that pleasant,The Awakening,Kate Chopin,-1
marriage,c.’. a. snodgrass the masked marriage (a tale of venice) gondola,Little Women,Louisa May Alcott,-1
marriage,"you here to witness the marriage of my daughter. father, we",Little Women,Louisa May Alcott,-1
marriage,"the sick, and afterwards the marriage ceremony was performed. mary stood","Mary, A Fiction",Mary Wollstonecraft,-1
marriage,"as her mind expanded, her marriage appeared a dreadful misfortune; she","Mary, A Fiction",Mary Wollstonecraft,-1
marriage,a lover? the really delightful marriage must be that where your,Middlemarch,George Eliot,23
marriage,"of conclusions, which has facilitated marriage under the difficulties of civilization.",Middlemarch,George Eliot,-1
marriage,was meditating an offer of marriage could care for a dried,Middlemarch,George Eliot,-1
marriage,a girl whose notions about marriage took their color entirely from,Middlemarch,George Eliot,19
marriage,"boudoir—with a background of prospective marriage to a man who, if",Middlemarch,George Eliot,19
marriage,"boudoir—with a background of prospective marriage to a man who, if",Middlemarch,George Eliot,-1
marriage,"i must expect trials, uncle. marriage is a state of higher",Middlemarch,George Eliot,23
marriage,had put the risks of marriage before her in a striking,Middlemarch,George Eliot,23
marriage,to judge what sort of marriage would turn out well for,Middlemarch,George Eliot,23
marriage,"mingled graces which could render marriage desirable, was far indeed from",Middlemarch,George Eliot,0
marriage,had been decided that the marriage should take place within six,Middlemarch,George Eliot,-1
marriage,the better match. for this marriage to casaubon is as good,Middlemarch,George Eliot,20
marriage,"tipton she had prearranged dorothea’s marriage with sir james, and if",Middlemarch,George Eliot,-1
marriage,“i should say that the marriage must not be decided on,Middlemarch,George Eliot,-1
marriage,no interference with miss brooke’s marriage through mr. cadwallader; and sir,Middlemarch,George Eliot,-1
marriage,"brooke, and the preliminaries of marriage rolled smoothly along, shortening the",Middlemarch,George Eliot,-1
marriage,there. a woman dictates before marriage in order that she may,Middlemarch,George Eliot,-1
marriage,certainly this affair of his marriage with miss brooke touched him,Middlemarch,George Eliot,-1
marriage,"the day fixed for his marriage came nearer, mr. casaubon did",Middlemarch,George Eliot,-1
marriage,"youthful bloom, with her approaching marriage to that faded scholar, and",Middlemarch,George Eliot,12
marriage,"meant to be final, since marriage at some distant period would",Middlemarch,George Eliot,-1
marriage,"meant to be final, since marriage at some distant period would",Middlemarch,George Eliot,-1
marriage,"any reason for throwing her marriage into distant perspective, nor any",Middlemarch,George Eliot,-1
marriage,"all middlemarch admirers, and presented marriage as a prospect of rising",Middlemarch,George Eliot,-1
marriage,that she had contemplated her marriage chiefly as the beginning of,Middlemarch,George Eliot,-1
marriage,"way, the early months of marriage often are times of critical",Middlemarch,George Eliot,-1
marriage,which the broad leisure of marriage will reveal. but the door-sill,Middlemarch,George Eliot,-1
marriage,"reveal. but the door-sill of marriage once crossed, expectation is concentrated",Middlemarch,George Eliot,-1
marriage,"smile. he had not found marriage a rapturous state, but he",Middlemarch,George Eliot,-1
marriage,families through mr. featherstone’s double marriage (the first to mr. garth’s,Middlemarch,George Eliot,0
marriage,her friends who thought her marriage unfortunate? or did she herself,Middlemarch,George Eliot,-1
marriage,at her half anxiously. celia’s marriage seemed more serious than it,Middlemarch,George Eliot,-1
marriage,is even more exasperating in marriage than in philosophy. dorothea left,Middlemarch,George Eliot,-1
marriage,"sir james, had done, the marriage might have been hindered. it",Middlemarch,George Eliot,-1
marriage,"long-recognized blood-relations and connections by marriage made already a goodly number,",Middlemarch,George Eliot,29
marriage,"mr. bulstrode, my dear. the marriage would please _him_, i should",Middlemarch,George Eliot,-1
marriage,forbid alike either a speedy marriage or an engagement which must,Middlemarch,George Eliot,-1
