sentence,title,author,year,chunk_id,inferred_emotion,inferred_emotion
"The conversation
of French women, who are not so rigidly nailed to their chairs, to
twist lappets, and knot ribbands, is frequently superficial; but, I
contend, that it is not half so insipid as that of those English
women, whose time is spent in making caps, bonnets, and the whole
mischief of trimmings, not to mention shopping, bargain-hunting,
etc. etc.: and it is the decent, prudent women, who are most
degraded by these practices; for their motive is simply vanity.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_063,neutral,neutral
"The Baroness de Stael speaks the same language as the lady just
cited, with more enthusiasm.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_087,approval,approval
"Often do they repeat Mr. Hume's
sentiments; when comparing the French and Athenian character, he
alludes to women.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_043,neutral,neutral
"And as for any depth of understanding, I will venture
to affirm, that it is as rarely to be found in the army as amongst
women; and the cause, I maintain, is the same.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_015,approval,approval
"To render women completely insignificant, he adds,--""The tongues of
women are very voluble; they speak earlier, more readily, and more
agreeably than the men; they are accused also of speaking much
more: but so it ought to be, and I should be very ready to convert
this reproach into a compliment; their lips and eyes have the same
activity, and for the same reason.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_072,neutral,neutral
"Yet outwardly
ornamented with elaborate care, and so adorned to delight man,
""that with honour he may love,"" (Vide Milton) the soul of woman is
not allowed to have this distinction, and man, ever placed between
her and reason, she is always represented as only created to see
through a gross medium, and to take things on trust.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_042,neutral,neutral
"She
can only sooth or chide them; render them insolent or timid; she
will make them formal coxcombs, or ignorant blockheads; but will
never make them sensible or amiable.""",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_075,neutral,neutral
"Whilst, on the contrary, the reward which virtue
promises to her votaries is confined, it is clear, to their own
bosoms; and often must they contend with the most vexatious worldly
cares, and bear with the vices and humours of relations for whom
they can never feel a friendship.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_078,neutral,neutral
What is then to become of her?,A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_038,curiosity,curiosity
"Let the libertine draw
what inference he pleases; but, I hope, that no sensible mother
will restrain the natural frankness of youth, by instilling such
indecent cautions.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_020,optimism,optimism
"Such paternal solicitude pervades Dr. Gregory's Legacy to his
daughters, that I enter on the task of criticism with affectionate
respect; but as this little volume has many attractions to
recommend it to the notice of the most respectable part of my sex,
I cannot silently pass over arguments that so speciously support
opinions which, I think, have had the most baneful effect on the
morals and manners of the female world.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_082,disapproval,disapproval
"In
Portugal, the country that I particularly allude to, it takes place
of the most serious moral obligations; for a man is seldom
assassinated when in the company of a woman.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_083,neutral,neutral
"Strength of body, and that
character of countenance, which the French term a physionomie,
women do not acquire before thirty, any more than men.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_057,neutral,neutral
"But, whether she be loved or neglected, her first
wish should be to make herself respectable, and not rely for all
her happiness on a being subject to like infirmities with herself.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_019,desire,desire
"After the foregoing remarks, it is almost superfluous to add, that
I consider all those feminine airs of maturity, which succeed
bashfulness, to which truth is sacrificed, to secure the heart of a
husband, or rather to force him to be still a lover when nature
would, had she not been interrupted in her operations, have made
love give place to friendship, as immodest.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_113,neutral,neutral
"To account for, and excuse the tyranny of man, many ingenious
arguments have been brought forward to prove, that the two sexes,
in the acquirement of virtue, ought to aim at attaining a very
different character: or, to speak explicitly, women are not
allowed to have sufficient strength of mind to acquire what really
deserves the name of virtue.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_011,neutral,neutral
"For
if it be allowed that women were destined by Providence to acquire
human virtues, and by the exercise of their understandings, that
stability of character which is the firmest ground to rest our
future hopes upon, they must be permitted to turn to the fountain
of light, and not forced to shape their course by the twinkling of
a mere satellite.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_012,neutral,neutral
"Men, for whom we are
told women are made, have too much occupied the thoughts of women;
and this association has so entangled love, with all their motives
of action; and, to harp a little on an old string, having been
solely employed either to prepare themselves to excite love, or
actually putting their lessons in practice, they cannot live
without love.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_103,neutral,neutral
"Dr. Gregory goes much further; he actually recommends
dissimulation, and advises an innocent girl to give the lie to her
feelings, and not dance with spirit, when gaiety of heart would
make her feet eloquent, without making her gestures immodest.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_020,neutral,neutral
"Yet, how can boys be expected to treat an usher with
respect when the master seems to consider him in the light of a
servant, and almost to countenance the ridicule which becomes the
chief amusement of the boys during the play hours?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_148,curiosity,curiosity
"When Richardson makes Clarissa tell Lovelace that he had robbed her
of her honour, he must have had strange notions of honour and
virtue.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_059,neutral,neutral
"She is still handsome, and, instead of transferring her
fondness to her children, she only dreams of enjoying the sunshine
of life.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_060,admiration,admiration
"In this metropolis a number of lurking leeches infamously gain a
subsistence by practising on the credulity of women, pretending to
cast nativities, to use the technical phrase; and many females who,
proud of their rank and fortune, look down on the vulgar with
sovereign contempt, show by this credulity, that the distinction is
arbitrary, and that they have not sufficiently cultivated their
minds to rise above vulgar prejudices.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_159,neutral,neutral
"That
decent personal reserve, which is the foundation of dignity of
character, must be kept up between women, or their minds will never
gain strength or modesty.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_111,neutral,neutral
"my
male readers will probably exclaim; but let them, before they draw
any conclusion, recollect, that this was not written originally as
descriptive of women, but of the rich.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_046,neutral,neutral
"Can she believe that she was only made to submit to man her equal;
a being, who, like her, was sent into the world to acquire virtue?
Can she consent to be occupied merely to please him; merely to
adorn the earth, when her soul is capable of rising to thee?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_055,neutral,neutral
"In fact, if we revert to history, we shall find that the
women who have distinguished themselves have neither been the most
beautiful nor the most gentle of their sex.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_021,neutral,neutral
"""-- And all this is built on her loveliness!",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_047,admiration,admiration
"With what disgust have I heard sensible women, for girls are more
restrained and cowed than boys, speak of the wearisome confinement
which they endured at school.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_145,disgust,disgust
"The maternal solicitude of a
reasonable affectionate woman is very interesting, and the
chastened dignity with which a mother returns the caresses that she
and her child receive from a father who has been fulfilling the
serious duties of his station, is not only a respectable, but a
beautiful sight.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_124,admiration,admiration
"But women only dress to gratify men of gallantry; for the
lover is always best pleased with the simple garb that sits close
to the shape.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_112,neutral,neutral
"Besides, by the exercise of their bodies and minds, women would
acquire that mental activity so necessary in the maternal
character, united with the fortitude that distinguishes steadiness
of conduct from the obstinate perverseness of weakness.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_158,neutral,neutral
"Nature has given woman a weaker frame than man; but, to ensure her
husband's affections, must a wife, who, by the exercise of her mind
and body, whilst she was discharging the duties of a daughter,
wife, and mother, has allowed her constitution to retain its
natural strength, and her nerves a healthy tone, is she, I say, to
condescend, to use art, and feign a sickly delicacy, in order to
secure her husband's affection?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_020,neutral,neutral
"Educated in the enervating style recommended by the writers on whom
I have been animadverting; and not having a chance, from their
subordinate state in society, to recover their lost ground, is it
surprising that women every where appear a defect in nature?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_099,curiosity,curiosity
"Truly the creature of sensibility was surprised by her
sensibility into folly--into vice;* and the dreadful reckoning
falls heavily on her own weak head, when reason wakes.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_109,surprise,surprise
"Besides, how many women of this description pass their days, or, at
least their evenings, discontentedly.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_054,neutral,neutral
"And when children are confined
to the society of men and women, they very soon acquire that kind
of premature manhood which stops the growth of every vigorous power
of mind or body.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_139,neutral,neutral
"For women sometimes declare that
they love, or believe certain things, BECAUSE they love, or believe
them.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_097,neutral,neutral
"And that a little miss should
have such a correct taste as to neglect the pleasing amusement of
making O's, merely because she perceived that it was an ungraceful
attitude, should be selected with the anecdotes of the learned
pig.*",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_032,neutral,neutral
"Her he
endeavoured to lead, and did lead, to history and moral essays; but
his daughter whom a fond weak mother had indulged, and who
consequently was averse to every thing like application, he allowed
to read novels; and used to justify his conduct by saying, that if
she ever attained a relish for reading them, he should have some
foundation to work upon; and that erroneous opinions were better
than none at all.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_165,neutral,neutral
"But nothing of this kind could occur in an elementary day-school,
where boys and girls, the rich and poor, should meet together.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_149,neutral,neutral
"But a child, though a
pledge of affection, will not enliven it, if both father and mother
are content to transfer the charge to hirelings; for they who do
their duty by proxy should not murmur if they miss the reward of
duty--parental affection produces filial duty.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_134,neutral,neutral
"She was created to be the toy of man, his rattle, and
it must jingle in his ears, whenever, dismissing reason, he chooses
to be amused.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_024,neutral,neutral
"Sufficiently so to puff up the
possessor, and excite envy in her contemporaries, and some of the
other sex.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_157,neutral,neutral
"But the wife who has thus been
rendered licentious, will probably endeavour to fill the void left
by the loss of her husband's attentions; for she cannot contentedly
become merely an upper servant after having been treated like a
goddess.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_060,neutral,neutral
"Throughout there is a display of cold, artificial feelings, and
that parade of sensibility which boys and girls should be taught to
despise as the sure mark of a little vain mind.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_079,neutral,neutral
"The necessity of polygamy, therefore, does not appear; yet when a
man seduces a woman, it should I think, be termed a LEFT-HANDED
marriage, and the man should be LEGALLY obliged to maintain the
woman and her children, unless adultery, a natural divorcement,
abrogated the law.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_058,neutral,neutral
"And when, to render the present state
more complete, though every thing proves it to be but a fraction of
a mighty sum, she is incited by present gratification to forget her
grand destination.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_051,neutral,neutral
"Women deluded by these sentiments, sometimes boast of their
weakness, cunningly obtaining power by playing on the WEAKNESS of
men; and they may well glory in their illicit sway, for, like
Turkish bashaws, they have more real power than their masters: but
virtue is sacrificed to temporary gratifications, and the
respectability of life to the triumph of an hour.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_029,neutral,neutral
"Yet, if love be the supreme good, let women be only educated to
inspire it, and let every charm be polished to intoxicate the
senses; but, if they are moral beings, let them have a chance to
become intelligent; and let love to man be only a part of that
glowing flame of universal love, which, after encircling humanity,
mounts in grateful incense to God.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_055,neutral,neutral
"If all the faculties of woman's mind are
only to be cultivated as they respect her dependence on man; if,
when she obtains a husband she has arrived at her goal, and meanly
proud, is satisfied with such a paltry crown, let her grovel
contentedly, scarcely raised by her employments above the animal
kingdom; but, if she is struggling for the prize of her high
calling, let her cultivate her understanding without stopping to
consider what character the husband may have whom she is destined
to marry.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_023,neutral,neutral
"""
""A man,"" adds he, ""secure in his own good conduct, depends only on
himself, and may brave the public opinion; but a woman, in behaving
well, performs but half her duty; as what is thought of her, is as
important to her as what she really is.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_115,neutral,neutral
"Many are the causes that, in the present corrupt state of society,
contribute to enslave women by cramping their understandings and
sharpening their senses.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_014,neutral,neutral
"If women be ever
allowed to walk without leading-strings, why must they be cajoled
into virtue by artful flattery and sexual compliments?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_080,curiosity,curiosity
"She is left a widow, perhaps,
without a sufficient provision: but she is not desolate!",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_039,neutral,neutral
"The shameful
indolence of many married women, and others a little advanced in
life, frequently leads them to sin against delicacy.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_120,embarrassment,embarrassment
"The real conquest is that over affection not taken by
surprise--when, like Heloisa, a woman gives up all the world,
deliberately, for love.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_109,neutral,neutral
"The passions of men have thus placed women on thrones; and, till
mankind become more reasonable, it is to be feared that women will
avail themselves of the power which they attain with the least
exertion, and which is the most indisputable.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_044,neutral,neutral
"He then proceeds to prove, that women ought to be weak and passive,
because she has less bodily strength than man; and from hence
infers, that she was formed to please and to be subject to him; and
that it is her duty to render herself AGREEABLE to her master--this
being the grand end of her existence.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_065,neutral,neutral
"He found
her a convenient humble companion, and pride made him determine to
find some superior virtues in the being whom he chose to live with;
but did not her conduct during his life, and after his death,
clearly show how grossly he was mistaken who called her a celestial
innocent.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_155,neutral,neutral
"After observing that of the two
sexes amongst animals, the most vigorous and hottest constitution
always prevails, and produces its kind; he adds,--""If this be
applied to the inhabitants of Africa, it is evident that the men
there, accustomed to polygamy, are enervated by the use of so many
women, and therefore less vigorous; the women on the contrary, are
of a hotter constitution, not only on account of their more
irritable nerves, more sensitive organization, and more lively
fancy; but likewise because they are deprived in their matrimony of
that share of physical love which in a monogamous condition, would
all be theirs; and thus for the above reasons, the generality of
children are born females.""",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_058,neutral,neutral
"Thus understanding, strictly speaking, has been
denied to woman; and instinct, sublimated into wit and cunning, for
the purposes of life, has been substituted in its stead.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_042,neutral,neutral
"The lover, it is true, has a poetic licence to
exalt his mistress; his reason is the bubble of his passion, and he
does not utter a falsehood when he borrows the language of
adoration.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_080,approval,approval
"She will not impart that peace, ""which passeth understanding,"" when
she is merely made the stilts of reputation and respected with
pharisaical exactness, because ""honesty is the best policy.""",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_086,neutral,neutral
"The absurdity, in
short, of supposing that a girl is naturally a coquette, and that a
desire connected with the impulse of nature to propagate the
species, should appear even before an improper education has, by
heating the imagination, called it forth prematurely, is so
unphilosophical, that such a sagacious observer as Rousseau would
not have adopted it, if he had not been accustomed to make reason
give way to his desire of singularity, and truth to a favourite
paradox.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_032,neutral,neutral
"I think I see her surrounded by her children, reaping the reward of
her care.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_040,neutral,neutral
"The poet then should have dropped his sneer when he says, ""If weak women go astray,
The stars are more in fault than they.""",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_026,neutral,neutral
"And, till
they are, women will govern them by the most direct means,
neglecting their dull domestic duties, to catch the pleasure that
is on the wing of time.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_052,neutral,neutral
"Besides, if women are educated for dependence, that is, to act
according to the will of another fallible being, and submit, right
or wrong, to power, where are we to stop?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_037,confusion,confusion
"For had they sense,
they might acquire that domestic taste which would lead them to
love with reasonable subordination their whole family, from the
husband to the house-dog; nor would they ever insult humanity in
the person of the most menial servant, by paying more attention to
the comfort of a brute, than to that of a fellow-creature.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_154,neutral,neutral
"I have already noticed the narrow cautions with respect to
duplicity, female softness, delicacy of constitution; for these are
the changes which he rings round without ceasing, in a more
decorous manner, it is true, than Rousseau; but it all comes home
to the same point, and whoever is at the trouble to analyze these
sentiments, will find the first principles not quite so delicate as
the superstructure.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_085,approval,approval
"And, can her
soul be sullied by the knowledge that awfully calls her to Thee?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_106,curiosity,curiosity
"Cold would be the heart of a husband, were he not rendered
unnatural by early debauchery, who did not feel more delight at
seeing his child suckled by its mother, than the most artful wanton
tricks could ever raise; yet this natural way of cementing the
matrimonial tie, and twisting esteem with fonder recollections,
wealth leads women to spurn.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_124,neutral,neutral
"The
power which vile and foolish women have had over wise men, who
possessed sensibility, is notorious; I shall only mention one
instance.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_155,neutral,neutral
"Why in the name of
decency are sisters, female intimates, or ladies and their waiting
women, to be so grossly familiar as to forget the respect which one
human creature owes to another?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_110,curiosity,curiosity
"The formation of the temper is the cool work
of reason, when, as life advances, she mixes with happy art,
jarring elements.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_069,approval,approval
"Let woman share the rights, and she will emulate the virtues of
man; for she must grow more perfect when emancipated, or justify
the authority that chains such a weak being to her duty.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_174,neutral,neutral
"Indignantly have I heard women argue in the same track as men, and
adopt the sentiments that brutalize them with all the pertinacity
of ignorance.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_087,neutral,neutral
"The female understanding has often been spoken of with contempt, as
arriving sooner at maturity than the male.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_056,annoyance,annoyance
"But
females, who are made women of when they are mere children, and
brought back to childhood when they ought to leave the go-cart
forever, have not sufficient strength of mind to efface the
superinductions of art that have smothered nature.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_100,neutral,neutral
"These fears, when not affected, may be very pretty; but they shew a
degree of imbecility, that degrades a rational creature in a way
women are not aware of--for love and esteem are very distinct
things.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_050,disappointment,disappointment
"I am fully persuaded, that we should hear of none of these
infantine airs, if girls were allowed to take sufficient exercise
and not confined in close rooms till their muscles are relaxed and
their powers of digestion destroyed.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_050,approval,approval
"Men look for
beauty and the simper of good humoured docility: women are
captivated by easy manners: a gentleman-like man seldom fails to
please them, and their thirsty ears eagerly drink the insinuating
nothings of politeness, whilst they turn from the unintelligible
sounds of the charmer--reason, charm he never so wisely.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_102,neutral,neutral
"I may be told that a number of women are not slaves in
the marriage state.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_136,neutral,neutral
"Public spirit
must be nurtured by private virtue, or it will resemble the
factitious sentiment which makes women careful to preserve their
reputation, and men their honour.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_122,neutral,neutral
"""Never,
perhaps, does a fine woman strike more deeply, than when, composed
into pious recollection, and possessed with the noblest
considerations, she assumes, without knowing it, superiour dignity
and new graces; so that the beauties of holiness seem to radiate
about her, and the by-standers are almost induced to fancy her
already worshipping amongst her kindred angels!""",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_080,neutral,neutral
"A similar attention to preserve their reputation
was conspicuous in the dissenting and female world, and was
produced by a similar cause.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_173,neutral,neutral
"There have been many women in the world who, instead of being
supported by the reason and virtue of their fathers and brothers,
have strengthened their own minds by struggling with their vices
and follies; yet have never met with a hero, in the shape of a
husband; who, paying the debt that mankind owed them, might chance
to bring back their reason to its natural dependent state, and
restore the usurped prerogative, of rising above opinion, to man.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_078,neutral,neutral
"When
the husband ceases to be a lover--and the time will inevitably
come, her desire of pleasing will then grow languid, or become a
spring of bitterness; and love, perhaps, the most evanescent of all
passions, gives place to jealousy or vanity.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_019,neutral,neutral
"Yet, weak
are the women who imagine that they can long please without the aid
of the mind; or, in other words, without the moral art of pleasing.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_166,neutral,neutral
"Nay, marriage will never be held sacred
till women by being brought up with men, are prepared to be their
companions, rather than their mistresses; for the mean doublings of
cunning will ever render them contemptible, whilst oppression
renders them timid.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_146,neutral,neutral
"For when a woman in
the lower rank of life makes her husband's and children's clothes,
she does her duty, this is part of her business; but when women
work only to dress better than they could otherwise afford, it is
worse than sheer loss of time.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_063,neutral,neutral
"it is only useful to a mistress; the chaste
wife, and serious mother, should only consider her power to please
as the polish of her virtues, and the affection of her husband as
one of the comforts that render her task less difficult, and her
life happier.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_019,approval,approval
"Only ""absolute in
loveliness,"" the portion of rationality granted to woman is,
indeed, very scanty; for, denying her genius and judgment, it is
scarcely possible to divine what remains to characterize intellect.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_041,neutral,neutral
"It is plain from the history of all nations, that women cannot be
confined to merely domestic pursuits, for they will not fulfil
family duties, unless their minds take a wider range, and whilst
they are kept in ignorance, they become in the same proportion, the
slaves of pleasure as they are the slaves of man.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_154,neutral,neutral
"In the exercise of their natural feelings, providence has furnished
women with a natural substitute for love, when the lover becomes
only a friend and mutual confidence takes place of overstrained
admiration--a child then gently twists the relaxing cord, and a
mutual care produces a new mutual sympathy.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_134,neutral,neutral
"The man who had some virtue whilst he was
struggling for a crown, often becomes a voluptuous tyrant when it
graces his brow; and, when the lover is not lost in the husband,
the dotard a prey to childish caprices, and fond jealousies,
neglects the serious duties of life, and the caresses which should
excite confidence in his children are lavished on the overgrown
child, his wife.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_021,neutral,neutral
"Yet so much superstition is
mixed with her religion, and so much worldly wisdom with her
morality, that I should not let a young person read her works,
unless I could afterwards converse on the subjects, and point out
the contradictions.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_090,neutral,neutral
"And what respect could a girl acquire for such a
parent, without doing violence to reason?)",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_138,curiosity,curiosity
"I have then philosophically pursued these reflections till I
inferred, that those women who have most improved their reason must
have the most modesty --though a dignified sedateness of deportment
may have succeeded the playful, bewitching bashfulness of youth.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_106,neutral,neutral
"These are the fair defects in nature; the women
who appear to be created not to enjoy the fellowship of man, but to
save him from sinking into absolute brutality, by rubbing off the
rough angles of his character; and by playful dalliance to give
some dignity to the appetite that draws him to them.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_055,neutral,neutral
"In France or Italy have the women confined themselves to domestic
life?",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_156,curiosity,curiosity
"I cannot, it is true, always coincide in opinion with
her; but I always respect her.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_090,admiration,admiration
"The want
of natural affection in many women, who are drawn from their duty
by the admiration of men, and the ignorance of others, render the
infancy of man a much more perilous state than that of brutes; yet
men are unwilling to place women in situations proper to enable
them to acquire sufficient understanding to know how even to nurse
their babes.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_157,neutral,neutral
"After their maidenish bashfulness is once lost, I, in
fact, have generally observed, that women fall into old habits; and
treat their husbands as they did their sisters or female
acquaintance.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_111,neutral,neutral
"So voluptuous,
indeed, often grows the lustful prowler, that he refines on female
softness.",A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,MW_121,neutral,neutral
