,character
1074,dalloway
1075,pepper
1076,rachel
1077,dalloway
1078,richard
1079,richard
1080,ambrose
1081,richard
1082,richard
1083,sutton
1084,richard
1085,richard
1086,dalloway
1087,dick
1088,clarissa
1089,richard
1090,dick
1091,dick
1092,dick
1093,richard
1094,clarissa
1095,dick
1096,clarissa
1097,dick
1098,john
1099,ambrose
1100,william pepper
1101,richard
1102,richard
1103,clarissa
1104,pascal
1105,richard
1106,clarissa
1107,grice
1108,grice
1109,grice
1110,dalloway
1111,grice
1112,clarissa
1113,shakespeare
1114,grice
1115,shakespeare
1116,clarissa
1117,henry the
1118,grice
1119,hamlet
1120,grice
1121,huxley
1122,"herbert
spencer"
1123,henry george
1124,thomas hardy
1125,dalloway
1126,herbert spencer
1127,henry george
1128,thomas hardy
1129,dalloway
1130,willoughby
1131,willoughby
1132,grice
1133,rachel
1134,dalloway
1135,clarissa
1136,helen
1137,richard
1138,rachel
1139,skye
1140,skye
1141,skye
1142,rachel
1143,richard
1144,rachel
1145,clarissa
1146,richard
1147,rachel
1148,clarissa
1149,dalloway
1150,samuel johnson
1151,martin
1152,rachel
1153,dick
1154,richard
1155,rachel
1156,richard
1157,vinrace
1158,dalloway
1159,helen
1160,rachel
1161,rachel
1162,bach
1163,beethoven
1164,mozart
1165,purcell
1166,dalloway
1167,bach
1168,bach
1169,rachel
1170,wuthering heights
1171,"cowper’s
letters"
1172,rachel
1173,wuthering heights
1174,jane austen
1175,jane austen
1176,jane austen
1177,rachel
1178,clarissa
1179,shelley
1180,margate
1181,rachel
1182,bach
1183,rachel
1184,dalloway
1185,rachel
1186,rachel
1187,clarissa
1188,rachel
1189,dalloway
1190,clarissa
1191,rachel
1192,rachel
1193,rachel
1194,rachel
1195,richard dalloway
1196,willoughby
1197,rachel
1198,ambrose
1199,dalloway
1200,rachel
1201,dalloway
1202,dalloway
1203,rachel
1204,richard
1205,dalloway
1206,dalloway
1207,helen
1208,rachel
1209,richard
1210,willoughby
1211,vinrace
1212,richard
1213,dick
1214,richard
1215,vinrace
1216,clarissa
1217,jane
1218,richard
1219,vinrace
1220,rachel
1221,clarissa
1222,dick
1223,jane
1224,richard
1225,dick
1226,jane
1227,richard
1228,walter elliott
1229,walter
1230,rachel
1231,richard
1232,clarissa
1233,rachel
1234,rachel
1235,richard
1236,dalloway
1237,grice
1238,rachel
1239,richard
1240,rachel
1241,vinrace
1242,rachel
1243,vinrace
1244,richard
1245,richard
1246,miss
1247,rachel
1248,shelley
1249,rachel
1250,shelley
1251,richard dalloway
1252,rachel
1253,vinrace
1254,richard
1255,leeds
1256,richard
1257,richard
1258,vinrace
1259,vinrace
1260,vinrace
1261,rachel
1262,vinrace
1263,richard
1264,vinrace
1265,richard
1266,vinrace
1267,rachel
1268,richard
1269,rachel
1270,richard
1271,richard
1272,vinrace
1273,richard
1274,richard
1275,rachel
1276,warships
1277,dick
1278,clarissa
1279,grice
1280,grey vessels
1281,richard
1282,george
1283,dick
1284,clarissa
1285,euphrosyne
1286,richard
1287,willoughby
1288,helen
1289,helen
1290,rachel
1291,dalloway
1292,dalloway
1293,richard
1294,william pepper
1295,helen
1296,dalloway
1297,dalloway
1298,dick
1299,clarissa
1300,helen
1301,helen
1302,clarissa
1303,dalloway
1304,ridley
1305,rachel
1306,richard
1307,richard
1308,dick
1309,dalloway
1310,richard
1311,helen
1312,willoughby
1313,richard
1314,helen
1315,richard
1316,helen
1317,richard
1318,richard
1319,helen
1320,ambrose
1321,helen
1322,ambrose
1323,henry sidgwick
1324,ambrose
1325,helen
1326,dalloway
1327,richard
1328,rachel
1329,richard
1330,rachel
1331,richard
1332,richard
1333,bach
1334,rachel
1335,richard
1336,"cowper’s
letters"
1337,bach
1338,wuthering heights
1339,vinrace
1340,burke
1341,burke
1342,rachel
1343,richard
1344,rachel
1345,richard
1346,richard
1347,richard
1348,willoughby
1349,dalloway
1350,rachel
1351,helen
1352,rachel
1353,richard
1354,dalloway
1355,rachel
1356,rachel
1357,"captain
cobbold"
1358,grice
1359,clarissa
1360,rachel
1361,richard
1362,rachel
1363,rachel
1364,dalloway
1365,chailey
1366,rachel
1367,rachel
1368,richard
1369,helen
1370,ambrose
1371,rachel
1372,rachel
1373,rachel
1374,helen
1375,rachel
1376,rachel
1377,rachel
1378,rachel
1379,helen
1380,cowper’s
1381,rachel
1382,pepper
1383,rachel
1384,rachel
1385,helen
1386,helen
1387,rachel
1388,helen
1389,helen
1390,rachel
1391,richard
1392,dalloway
1393,rachel
1394,helen
1395,helen
1396,dalloway
1397,rachel
1398,dalloway
1399,richard
1400,clarissa
1401,richard
1402,clarissa
1403,rachel
1404,rachel
1405,richard
1406,ambrose
1407,rachel
1408,roland beal
1409,r.e.
1410,t. fishwick
1411,rachel
1412,rachel
1413,helen
1414,rachel
1415,helen
1416,helen
1417,helen
1418,ambrose
1419,rachel
1420,pepper
1421,helen
1422,amazons
1423,ambrose
1424,rachel
1425,rachel
1426,ambrose
1427,ambrose
1428,willoughby
1429,ambrose
1430,willoughby
1431,helen
1432,rachel
1433,willoughby
1434,helen
1435,rachel
1436,rachel
1437,willoughby
1438,rachel
1439,helen
1440,euphrosyne
1441,euphrosyne
1442,pepper
1443,euphrosyne
1444,ambrose
1445,euphrosyne
1446,pepper
1447,rachel
1448,pepper
1449,euphrosyne
1450,richard dalloway
1451,helen ambrose’s
1452,willoughby
1453,pepper
1454,rachel
1455,pepper
1456,chailey
1457,maria
1458,pepper
1459,willoughby
1460,rachel
1461,willoughby
1462,rachel
1463,william pepper
1464,helen
1465,pepper
1466,pepper
1467,william
1468,rachel
1469,"stop, william"
1470,william
1471,william pepper
1472,william pepper
1473,ambrose
1474,ambrose
1475,"roman
catholics"
1476,asquith
1477,austen chamberlain
1478,"richard
dalloway"
1479,rachel
1480,ambrose
1481,rachel
1482,helen
1483,maria
1484,maria
1485,rachel
1486,helen
1487,helen
1488,shelley
1489,shelley
1490,shelley
1491,shelley
1492,rachel
1493,rachel
1494,helen
1495,helen
1496,rachel
1497,rachel
1498,helen
1499,charles
1500,rachel
1501,lounge
1502,signor rodriguez
1503,helen
1504,rachel
1505,helen
1506,helen
1507,rachel
1508,helen
1509,miss warrington
1510,helen
1511,susan
1512,hewet
1513,paley
1514,paley
1515,susan
1516,hewet
1517,helen
1518,rachel
1519,miss allan
1520,primer
1521,"susan
warrington"
1522,allan
1523,"susan
warrington"
1524,miss warrington
1525,arthur venning
1526,arthur venning
1527,h. elliot
1528,miss appleby’s adventure
1529,aunt e.
1530,perrott
1531,evelyn m. do
1532,p.
1533,aunt e.
1534,mem
1535,william pepper
1536,william pepper
1537,hugh
1538,paley
1539,allan
1540,gibbon
1541,hirst
1542,hewet
1543,hirst
1544,hewet
1545,hirst
1546,warrington
1547,hewet
1548,hewet
1549,hewet
1550,hewet
1551,hughling elliot
1552,hughling elliot
1553,miss allan
1554,miss warrington
1555,"arthur
venning"
1556,perrott
1557,evelyn m.
1558,hewet
1559,hewet
1560,hewet
1561,hewet
1562,hewet
1563,hewet
1564,hewet
1565,hewet
1566,miss warrington
1567,miss
1568,allan
1569,elliot
1570,venning
1571,perrott
1572,murgatroyd
1573,hewet
1574,warrington
1575,paley
1576,hewet
1577,hewet
1578,john donne
1579,paley
1580,paley
1581,hewet
1582,hewet
1583,paley
1584,hewet
1585,hewet
1586,thomas hardy
1587,elliot
1588,warrington
1589,elliot
1590,the oxford don
1591,susan
1592,the oxford don
1593,susan
1594,elliot
1595,susan
1596,elliot
1597,allan
1598,elliot
1599,miss allan
1600,susan
1601,miss allan
1602,elliot
1603,miss warrington
1604,thornbury
1605,miss
1606,allan
1607,hewet
1608,thornbury
1609,hewet
1610,mary umpleby
1611,thornbury
1612,mary umpleby
1613,thornbury
1614,hewet
1615,miss umpleby
1616,thornbury
1617,miss allan
1618,thornbury
1619,hewet
1620,hirst
1621,thornbury
1622,william
1623,thornbury
1624,thornbury
1625,thornbury
1626,miss allan
1627,miss allan
1628,hewet
1629,miss allan
1630,allan
1631,miss allan
1632,miss allan
1633,hirst
1634,thornbury
1635,thornbury
1636,hewet
1637,thornbury
1638,allan
1639,william
1640,thornbury
1641,joshua harris
1642,jove
1643,allan
1644,hughling elliot
1645,elliot
1646,hugh
1647,elliot
1648,allan
1649,thornbury
1650,allan
1651,thornbury
1652,elliot
1653,thornbury
1654,elliot
1655,thornbury
1656,elliot
1657,thornbury
1658,elliot
1659,thornbury
1660,elliot
1661,elliot
1662,thornbury
1663,elliot
1664,elliot
1665,thornbury
1666,elliot
1667,elliot
1668,thornbury
1669,ralph
1670,elliot
1671,thornbury
1672,elliot
1673,thornbury
1674,elliot
1675,thornbury
1676,perrott
1677,venning
1678,paley
1679,susan
1680,venning
1681,paley
1682,susan
1683,paley
1684,susan
1685,susan
1686,susan
1687,venning
1688,paley
1689,elliot
1690,paley
1691,elliot
1692,susan
1693,elliot
1694,susan
1695,paley
1696,susan
1697,paley
1698,susan
1699,venning
1700,paley
1701,venning
1702,venning
1703,perrott
1704,perrott
1705,venning
1706,perrott
1707,venning
1708,susan
1709,paley
1710,venning
1711,susan
1712,venning
1713,susan
1714,elliot
1715,paley
1716,miss warrington
1717,venning
1718,paley
1719,elliot
1720,venning
1721,susan
1722,venning
1723,susan
1724,elliot
1725,paley
1726,susan
1727,elliot
1728,ambrose
1729,hilda
1730,ridley
1731,hewet
1732,hirst
1733,susan
1734,hilda
1735,elliot
1736,hewet
1737,susan
1738,elliot
1739,too”—he
1740,paley
1741,ridley
1742,paley
1743,kent
1744,dorsetshire
1745,elliot
1746,kent
1747,dorsetshire
1748,elliot
1749,susan
1750,hirst
1751,arthur
1752,hughling elliot
1753,elliot
1754,susan
1755,arthur
1756,paley
1757,ambrose
1758,rachel
1759,ibsen
1760,diana
1761,helen
1762,rachel
1763,nora
1764,helen
1765,ambrose
1766,rachel
1767,bach
1768,beethoven
1769,ambrose
1770,defoe
1771,maupassant
1772,rachel
1773,ibsen
1774,ambrose
1775,rachel
1776,terence hewet
1777,rachel
1778,monte rosa
1779,vinrace
1780,helen
1781,rachel
1782,helen
1783,“monte rosa
1784,helen
1785,hirst
1786,messenger
1787,hirst
1788,hewet
1789,waterloo
1790,hewet
1791,helen
1792,ambrose
1793,rachel
1794,thornburys
1795,venning
1796,susan
1797,allan
1798,evelyn murgatroyd
1799,perrott
1800,hirst
1801,evelyn murgatroyd
1802,miss murgatroyd
1803,’s evelyn
1804,evelyn
1805,r. s. t.
1806,evelyn murgatroyd
1807,evelyn m.
1808,miss allan
1809,elliot
1810,elliot
1811,helen
1812,allan
1813,miss allan
1814,elliot
1815,helen
1816,evelyn m.
1817,evelyn m.
1818,garibaldi
1819,hirst
1820,st. john
1821,st. john
1822,surprised
1823,evelyn
1824,perrott
1825,perrott
1826,"hughling
elliot"
1827,elliot
1828,miss allan
1829,elliot
1830,miss allan
1831,allan
1832,evelyn
1833,perrott
1834,elliot
1835,evelyn
1836,allan
1837,miss allan
1838,hewet
1839,hewet
1840,helen
1841,rachel
1842,hewet
1843,elliot
1844,thornbury
1845,elliot
1846,susan
1847,arthur
1848,susan
1849,venning
1850,thornbury
1851,arthur
1852,thornbury
1853,allan
1854,allan
1855,helen
1856,miss
1857,allan
1858,susan
1859,perrott
1860,evelyn
1861,elliot
1862,thornbury
1863,hewet
1864,thornbury
1865,elliot
1866,susan
1867,venning
1868,evelyn
1869,evelyn
1870,allan
1871,rachel
1872,hewet
1873,thornbury
1874,evelyn m.
1875,perrott
1876,evelyn
1877,law courts
1878,perrott
1879,evelyn
1880,garibaldi
1881,perrott
1882,evelyn
1883,perrott
1884,perrott
1885,susan
1886,arthur
1887,susan
1888,arthur
1889,arthur
1890,susan
1891,arthur
1892,jove
1893,hirst
1894,susan
1895,arthur
1896,elliot
1897,arthur
1898,arthur
1899,susan
1900,arthur
1901,ev
1902,susan
1903,arthur
1904,arthur
1905,susan
1906,arthur
1907,perrott
1908,arthur
1909,susan
1910,perrott
1911,arthur
1912,susan
1913,arthur
1914,arthur
1915,arthur
1916,susan
1917,arthur
1918,susan
1919,arthur
1920,rachel
1921,arthur
1922,rachel
1923,susan warrington
1924,arthur
1925,rachel
1926,rachel
1927,hewet
1928,rachel
1929,hewet
1930,hewet
1931,hewet
1932,"somebody
vinrace"
1933,rachel
1934,damien
1935,rachel
1936,rachel
1937,helen
1938,hewet
1939,rachel
1940,hewet
1941,hewet
1942,monk
1943,hewet
1944,monk
1945,rachel
1946,hewet
1947,god
1948,hewet
1949,helen
1950,hewet
1951,vinrace
1952,rachel
1953,hewet
1954,literary
1955,literary
1956,helen
1957,sidney hirst
1958,helen
1959,rachel
1960,rachel
1961,rachel
1962,rachel
1963,elliot
1964,elliot
1965,thornbury
1966,elliot
1967,hewet
1968,perrott
1969,evelyn
1970,thornbury
1971,helen
1972,thornbury
1973,susan
1974,helen
1975,venning
1976,perrott
1977,evelyn m. “
1978,hewet
1979,hewet
1980,thornbury
1981,arthur
1982,hewet
1983,thornbury
1984,arthur
1985,hewet
1986,thornbury
1987,elliot
1988,raymond parry
1989,raymond parry
1990,thornbury
1991,elliot
1992,parry
1993,elliot
1994,hirst
1995,susan
1996,arthur
1997,hewet
1998,hewet
1999,hewet
2000,susan warrington
2001,susan
2002,hirst
2003,evelyn
2004,signor rodriguez
2005,hewet
2006,william pepper
2007,allan
2008,evelyn
2009,allan
2010,helen ambrose
2011,rachel
2012,rachel
2013,helen
2014,rachel
2015,hewet
2016,miss allan
2017,hewet
2018,ambrose
2019,helen
2020,rachel
2021,rachel
2022,rachel
2023,rachel
2024,rachel
2025,rachel
2026,rachel
2027,rachel
2028,rachel
2029,shakespeare
2030,rachel
2031,gibbon
2032,gibbon
2033,rachel
2034,ambrose
2035,rachel
2036,vinrace
2037,hewet
2038,rachel
2039,rachel
2040,hewet
2041,rachel
2042,rachel
2043,vinrace
2044,hirst
2045,miss
2046,rachel
2047,pepper
2048,hewet
2049,allan
2050,hewet
2051,hewet
2052,thornbury
2053,elliot
2054,warrington
2055,elliot
2056,thornbury
2057,arthur
2058,elliot
2059,miss allan
2060,thornbury
2061,thornbury
2062,arthur
2063,elliot
2064,miss allan
2065,thornbury
2066,rachel
2067,hewet
2068,thornbury
2069,vinrace
2070,elliot
2071,thornbury
2072,hull
2073,asquith
2074,protectionist
2075,elliot
2076,elliot
2077,thornbury
2078,evelyn m.
2079,eliot
2080,thornbury
2081,elliot
2082,helen
2083,helen
2084,yellow satin
2085,st. john
2086,helen
2087,helen
2088,hoffman
2089,helen
2090,rachel
2091,arthur venning
2092,vinrace
2093,arthur
2094,rachel
2095,helen
2096,rachel
2097,st. john
2098,helen
2099,helen
2100,helen
2101,arthur
2102,rachel
2103,susan
2104,hewet
2105,allan
2106,elliot
2107,allan
2108,alexander pope
2109,pope
2110,elliot
2111,allan
2112,elliot
2113,allan
2114,hewet
2115,allan
2116,allan
2117,rachel
2118,beethoven
2119,mozart
2120,miss allan
2121,miss allan
2122,rajah
2123,miss allen
2124,mozart rachel
2125,pepper
2126,thornbury
2127,elliot
2128,hewet
2129,thornbury
2130,evelyn m.
