sentence,title,author,year,chunk_id,inferred_emotion,sentence_length
"“Those of us who are the
most highly competent fulfill that office; and a majority of our girls
eagerly try for it--I assure you we have the very best.”",Herland,Charlotte Perkins Gilman,1915,CP_061,joy,29
“But the poor mother--bereaved of her baby--” “Oh no!”,Herland,Charlotte Perkins Gilman,1915,CP_061,sadness,9
"For the child’s sake, she is glad to have
for it this highest care.”",Herland,Charlotte Perkins Gilman,1915,CP_061,joy,14
"Girls--hundreds of them--eager, bright-eyed, attentive young faces;
crowding questions, and, I regret to say, an increasing inability on our
part to answer them effectively.",Herland,Charlotte Perkins Gilman,1915,CP_062,sadness,24
"I had my girl friends, good ones, but they were
friends--nothing else.",Herland,Charlotte Perkins Gilman,1915,CP_063,joy,12
"Here
was poor old Terry fondly imagining that at last he was free to stray in
“a rosebud garden of girls”--and behold!",Herland,Charlotte Perkins Gilman,1915,CP_065,joy,22
"I thought to myself disgustedly, and then
remembered how little like “women,” in our derogatory sense, they were.",Herland,Charlotte Perkins Gilman,1915,CP_065,disgust,18
"She was smiling at me, reading my thought.",Herland,Charlotte Perkins Gilman,1915,CP_065,joy,8
"I liked her that day she balanced on the branch before me and named the
trio.",Herland,Charlotte Perkins Gilman,1915,CP_066,joy,16
"I just liked that girl “as a
friend,” as we say.",Herland,Charlotte Perkins Gilman,1915,CP_066,joy,11
"She taught me games and
I taught her games, and we raced and rowed and had all manner of fun, as
well as higher comradeship.",Herland,Charlotte Perkins Gilman,1915,CP_066,joy,25
"“Are the women in your
country so weak that they could not carry such a thing as that?”",Herland,Charlotte Perkins Gilman,1915,CP_068,surprise,18
"“That’s different,” he said, annoyed; and when she said, “Why is it?”",Herland,Charlotte Perkins Gilman,1915,CP_068,anger,12
"He had hurt and offended her too often; there were
reservations.",Herland,Charlotte Perkins Gilman,1915,CP_069,anger,11
“How many children do your women have?”,Herland,Charlotte Perkins Gilman,1915,CP_071,surprise,7
Now what do those women _do?_”,Herland,Charlotte Perkins Gilman,1915,CP_071,surprise,6
She took it from me with a little cry of delight.,Herland,Charlotte Perkins Gilman,1915,CP_074,joy,11
"She explained things
kindly and sweetly, but with some amazement that they needed explaining,
and with sudden questions as to how we did it that left me meeker than
ever.",Herland,Charlotte Perkins Gilman,1915,CP_077,surprise,30
"“Of course it is,” she unexpectedly agreed.",Herland,Charlotte Perkins Gilman,1915,CP_077,surprise,7
"I think it was only as I grew to love Ellador more than I believed
anyone could love anybody, as I grew faintly to appreciate her inner
attitude and state of mind, that I began to get some glimpses of this
faith of theirs.",Herland,Charlotte Perkins Gilman,1915,CP_080,joy,44
"Her eyes grew large, her face ghastly pale.",Herland,Charlotte Perkins Gilman,1915,CP_081,sadness,8
"“You see, we are not accustomed to horrible ideas,” she said, coming
back to me rather apologetically.",Herland,Charlotte Perkins Gilman,1915,CP_081,sadness,17
"Her eyes were as bright as stars, and there were tears
in them, too.",Herland,Charlotte Perkins Gilman,1915,CP_082,sadness,14
She was so sorry for me.,Herland,Charlotte Perkins Gilman,1915,CP_082,sadness,6
"I was thinking over the pictures of God I had seen--rash advances of the
devout mind of man, representing his Omnipotent Deity as an old man in
a flowing robe, flowing hair, flowing beard, and in the light of her
perfectly frank and innocent questions this concept seemed rather
unsatisfying.",Herland,Charlotte Perkins Gilman,1915,CP_083,sadness,50
"“I see,” she said eagerly, after I had explained the genesis and
development of our religious ideals.",Herland,Charlotte Perkins Gilman,1915,CP_083,joy,17
"“Your difference is deeper than that,” I assured her.",Herland,Charlotte Perkins Gilman,1915,CP_083,joy,9
"And here was the girl I loved, this creature whose character constantly
revealed new heights and ranges far beyond my own, this superwoman of a
superland, saying she thought immortality foolish!",Herland,Charlotte Perkins Gilman,1915,CP_085,joy,31
"She could be horrified at Damnation, and question the justice
of Salvation, but Immortality--that was surely a noble faith.",Herland,Charlotte Perkins Gilman,1915,CP_086,fear,19
"Terry, always irritating her, said it was a sign of possession.",Herland,Charlotte Perkins Gilman,1915,CP_086,anger,11
“Then she just loses hers and takes a new one--how unpleasant!,Herland,Charlotte Perkins Gilman,1915,CP_087,sadness,11
"He was so certain of what he was going to teach, and Alima so uncertain
in her moods of reception, that Jeff and I feared the worst.",Herland,Charlotte Perkins Gilman,1915,CP_087,fear,27
"So the great day came, and the countless crowds of women, and we three
bridegrooms without any supporting “best men,” or any other men to back
us up, felt strangely small as we came forward.",Herland,Charlotte Perkins Gilman,1915,CP_087,joy,35
"Well--here were we, three aliens in this land of women.",Herland,Charlotte Perkins Gilman,1915,CP_089,surprise,10
"Aside from that, of course, was the whole range of personal love, love
which as Jeff earnestly phrased it “passeth the love of women!”",Herland,Charlotte Perkins Gilman,1915,CP_091,joy,24
"After marriage there arose in us a somewhat unexpected urge of feeling
that called for a separate house; but this feeling found no response in
the hearts of those fair ladies.",Herland,Charlotte Perkins Gilman,1915,CP_091,surprise,31
"And,
as I thought that, I suddenly remembered how we were always criticizing
_our_ women for _being_ so personal.",Herland,Charlotte Perkins Gilman,1915,CP_092,surprise,19
"Then I did my earnest best to picture to her the sweet intense joy of
married lovers, and the result in higher stimulus to all creative work.",Herland,Charlotte Perkins Gilman,1915,CP_092,joy,27
"They are men and women, and they love each other.”",Herland,Charlotte Perkins Gilman,1915,CP_093,joy,10
"“There is something very beautiful in the idea,” she admitted, still as
if she were discussing life on Mars.",Herland,Charlotte Perkins Gilman,1915,CP_093,joy,19
"I bowed my hot head on her shoulder and felt a dim sense
of peace, a restfulness which was very pleasant.",Herland,Charlotte Perkins Gilman,1915,CP_093,joy,21
"“It is
not only that I love you so much, I want to see your country--your
people--your mother--” she paused reverently.",Herland,Charlotte Perkins Gilman,1915,CP_093,joy,21
"“Oh, how I shall love your
mother!”",Herland,Charlotte Perkins Gilman,1915,CP_093,joy,7
"But when I made appeal to
her sympathies I came up against another immovable wall.",Herland,Charlotte Perkins Gilman,1915,CP_094,sadness,15
"She was sorry,
honestly sorry, for my distresses, and made all manner of thoughtful
suggestions, often quite useful, as well as the wise foresight I have
mentioned above, which often saved all difficulty before it arose; but
her sympathy did not alter her convictions.",Herland,Charlotte Perkins Gilman,1915,CP_094,sadness,44
"Here was I, with an Ideal in mind, for which I hotly longed, and here
was she, deliberately obtruding in the foreground of my consciousness a
Fact--a fact which I coolly enjoyed, but which actually interfered with
what I wanted.",Herland,Charlotte Perkins Gilman,1915,CP_095,joy,40
"Of course, in this case, I was so fond of Ellador my friend, of Ellador
my professional companion, that I necessarily enjoyed her society on any
terms.",Herland,Charlotte Perkins Gilman,1915,CP_095,joy,27
"But this I soon began to find: that under
all our cultivated attitude of mind toward women, there is an older,
deeper, more “natural” feeling, the restful reverence which looks up to
the Mother sex.",Herland,Charlotte Perkins Gilman,1915,CP_095,surprise,35
Of course I blame her somewhat.,Herland,Charlotte Perkins Gilman,1915,CP_096,anger,6
"Moadine, grave and strong, as sadly patient as a mother with a
degenerate child, kept steady watch on him, with enough other women
close at hand to prevent an outbreak.",Herland,Charlotte Perkins Gilman,1915,CP_098,sadness,30
"She’d die of horror and
shame to see our slums and hospitals.",Herland,Charlotte Perkins Gilman,1915,CP_098,sadness,12
"“I shall enjoy it all,” she said, her eyes starry with hope.",Herland,Charlotte Perkins Gilman,1915,CP_099,joy,12
"And the abnormal, to which we are all so sadly well
acclimated, she had never seen.",Herland,Charlotte Perkins Gilman,1915,CP_099,sadness,16
"Even when I tried to tell her the worst, I never remembered
some things--which, when she came to see them, impressed her at once, as
they had never impressed me.",Herland,Charlotte Perkins Gilman,1915,CP_100,sadness,30
"We were now well used
to seeing women not as females but as people; people of all sorts, doing
every kind of work.",Herland,Charlotte Perkins Gilman,1915,CP_101,joy,23
"She trembled in my arms, as I held her close,
kissing her hungrily.",Herland,Charlotte Perkins Gilman,1915,CP_101,joy,13
"What is this miracle by which a woman, even in your arms, may withdraw
herself, utterly disappear till what you hold is as inaccessible as the
face of a cliff?",Herland,Charlotte Perkins Gilman,1915,CP_102,surprise,30
"After all, Alima was
his wife, you know,” I urged, feeling at the moment a sudden burst of
sympathy for poor Terry.",Herland,Charlotte Perkins Gilman,1915,CP_102,sadness,22
"I am thus explicit about it because it shows how unexpectedly strong
was the impression made upon Ellador when she at last entered our
civilization.",Herland,Charlotte Perkins Gilman,1915,CP_102,surprise,25
"You see, I loved her so
much that even the restrictions she so firmly established left me much
happiness.",Herland,Charlotte Perkins Gilman,1915,CP_102,joy,19
"But so far only Celis, her blue eyes swimming in happy tears, her
heart lifted with that tide of race-motherhood which was their supreme
passion, could with ineffable joy and pride announce that she was to
be a mother.",Herland,Charlotte Perkins Gilman,1915,CP_102,joy,39
"Almost like the breathless reverence with
which, two thousand years ago, that dwindling band of women had watched
the miracle of virgin birth, was the deep awe and warm expectancy with
which they greeted this new miracle of union.",Herland,Charlotte Perkins Gilman,1915,CP_103,joy,39
"And I
was beginning to find that Ellador’s friendship, Ellador’s comradeship,
Ellador’s sisterly affection, Ellador’s perfectly sincere love--none
the less deep that she held it back on a definite line of reserve--were
enough to live on very happily.",Herland,Charlotte Perkins Gilman,1915,CP_103,joy,38
"These were women one had to love “up,” very high up, instead of down.",Herland,Charlotte Perkins Gilman,1915,CP_104,joy,14
"It made him sick, he said, _sick;_ this
everlasting mother-mother-mothering.",Herland,Charlotte Perkins Gilman,1915,CP_105,sadness,10
"Before we left
he quite desperately longed to see her, but she would not come and he
could not go.",Herland,Charlotte Perkins Gilman,1915,CP_105,sadness,20
"In his case one might guess from the moving lips that it was thought;
and in hers from the eyes fixed stonily straight in front of her at a
level above the eyes of most that it was sorrow.",The Voyage Out,Virginia Woolf,1915,VW_001,sadness,39
"It was only by
scorning all she met that she kept herself from tears, and the friction
of people brushing past her was evidently painful.",The Voyage Out,Virginia Woolf,1915,VW_001,sadness,25
"Screening her face she sobbed more steadily than she had yet
done, her shoulders rising and falling with great regularity.",The Voyage Out,Virginia Woolf,1915,VW_002,sadness,20
"Startled by this discovery and seeing herself
pacing a circle all the days of her life round Picadilly Circus she was
greatly relieved to pass a building put up by the London County Council
for Night Schools.",The Voyage Out,Virginia Woolf,1915,VW_003,joy,37
"Other ships, as sad as she, answered her
outside on the river.",The Voyage Out,Virginia Woolf,1915,VW_006,sadness,12
"This
year he has had the misfortune to lose his wife, which made it painful,
of course.”",The Voyage Out,Virginia Woolf,1915,VW_006,sadness,17
"“Perhaps—?” she said at length, upon which they rose and left, vaguely
to the surprise of the gentlemen, who had either thought them attentive
or had forgotten their presence.",The Voyage Out,Virginia Woolf,1915,VW_007,surprise,29
"“They’re old friends,” said Helen, smiling at the sight.",The Voyage Out,Virginia Woolf,1915,VW_007,joy,9
"“It’s odd that every one should be an old friend of Mr. Pepper’s,”
Rachel started nervously, for the situation was difficult, the room
cold, and Helen curiously silent.",The Voyage Out,Virginia Woolf,1915,VW_008,fear,28
"Her face was weak rather than decided, saved from
insipidity by the large enquiring eyes; denied beauty, now that she was
sheltered indoors, by the lack of colour and definite outline.",The Voyage Out,Virginia Woolf,1915,VW_009,sadness,31
"“We looked in and saw you laughing,” Helen remarked.",The Voyage Out,Virginia Woolf,1915,VW_010,joy,9
"Rachel was heard to sigh, “Poor little goats!”",The Voyage Out,Virginia Woolf,1915,VW_011,sadness,8
"She was talking nonsense,
but not worse nonsense than people usually do talk at breakfast, the
cerebral circulation, as he knew to his cost, being apt to give trouble
at that hour.",The Voyage Out,Virginia Woolf,1915,VW_012,anger,32
"Rachel laughed, too, as indeed she had laughed ever since she
could remember, without thinking it funny, but because she admired her
father.",The Voyage Out,Virginia Woolf,1915,VW_014,joy,23
"But there
was one portrait in a gilt frame, for which a nail was needed, and
before she sought it Mrs. Chailey put on her spectacles and read what
was written on a slip of paper at the back: “This picture of her mistress is given to Emma Chailey by Willoughby
Vinrace in gratitude for thirty years of devoted service.”",The Voyage Out,Virginia Woolf,1915,VW_016,joy,60
"My
dear,” Helen was on her knees under a table, “you are only making
yourself untidy, and we had much better recognise the fact that we are
condemned to six weeks of unspeakable misery.",The Voyage Out,Virginia Woolf,1915,VW_016,sadness,34
"“It’s books,” sighed Helen, lifting an armful of sad volumes from the
floor to the shelf.",The Voyage Out,Virginia Woolf,1915,VW_017,sadness,16
"Her efforts to come to an understanding had only
hurt her aunt’s feelings, and the conclusion must be that it is better
not to try.",The Voyage Out,Virginia Woolf,1915,VW_021,sadness,25
"Absorbed by her music she accepted her lot very
complacently, blazing into indignation perhaps once a fortnight, and
subsiding as she subsided now.",The Voyage Out,Virginia Woolf,1915,VW_022,joy,23
"She was absorbed in
her arrangements, and on seeing Rachel remarked confidentially: “If one can give men a room to themselves where they will sit, it’s all
to the good.",The Voyage Out,Virginia Woolf,1915,VW_025,joy,30
"“But somewhat dangerous to navigation,” boomed Richard, in the bass,
like the bassoon to the flourish of his wife’s violin.",The Voyage Out,Virginia Woolf,1915,VW_026,fear,20
"“No; but think what a joy to have to do with babies, instead of
saucepans!” said Mrs. Dalloway, looking with more interest at Helen, a
probable mother.",The Voyage Out,Virginia Woolf,1915,VW_026,joy,27
"“You’re not a politician, I see,” she smiled.",The Voyage Out,Virginia Woolf,1915,VW_027,joy,8
"“It’s dreadful,” said Mrs. Dalloway, who, while her husband spoke, had
been thinking.",The Voyage Out,Virginia Woolf,1915,VW_027,fear,13
"“I’m dreadfully bad; and my husband’s not very good,” sighed Clarissa.",The Voyage Out,Virginia Woolf,1915,VW_028,fear,11
"“There are a great many successful stockbrokers, if you like looking at
them,” said Helen.",The Voyage Out,Virginia Woolf,1915,VW_030,joy,15
"“Cleanliness!” said Clarissa, “I do want a man to look clean!”",The Voyage Out,Virginia Woolf,1915,VW_030,joy,11
The question seemed to Clarissa in extraordinarily bad taste.,The Voyage Out,Virginia Woolf,1915,VW_030,sadness,9
"She could find
no answer, but a laugh.",The Voyage Out,Virginia Woolf,1915,VW_030,joy,8
There was that in her manner that made Rachel love her.,The Voyage Out,Virginia Woolf,1915,VW_030,joy,11
"Then there’s a nice shy girl—poor thing—I wish one could rake
her out before it’s too late.",The Voyage Out,Virginia Woolf,1915,VW_031,joy,17
"“What I like about you, Dick,” she continued, “is that you’re always
the same, and I’m a creature of moods.”",The Voyage Out,Virginia Woolf,1915,VW_033,joy,20
"He kissed her passionately, so that her half-written letter slid to the
ground.",The Voyage Out,Virginia Woolf,1915,VW_033,joy,13
"She then fell into a sleep, which
was as usual extremely sound and refreshing, but visited by fantastic
dreams of great Greek letters stalking round the room, when she woke up
and laughed to herself, remembering where she was and that the Greek
letters were real people, lying asleep not many yards away.",The Voyage Out,Virginia Woolf,1915,VW_033,joy,53
"She apologised, and at the same time
asked him to enlighten her: what were those shiny brass stands for,
half glass on the top?",The Voyage Out,Virginia Woolf,1915,VW_034,sadness,24
"What does any man or woman brought up in England
know about the sea?",The Voyage Out,Virginia Woolf,1915,VW_034,surprise,14
Clarissa was so glad to hear him say so.,The Voyage Out,Virginia Woolf,1915,VW_034,joy,9
"“I agree that it’s the worst one can possibly say of any one,” said
Clarissa.",The Voyage Out,Virginia Woolf,1915,VW_035,joy,15
Surely the tears stood in her eyes?,The Voyage Out,Virginia Woolf,1915,VW_035,sadness,7
"The talk meanwhile raced past her, and when Richard suddenly stated in
a jocular tone of voice, “I’m sure Miss Vinrace, now, has secret
leanings towards Catholicism,” she had no idea what to answer, and
Helen could not help laughing at the start she gave.",The Voyage Out,Virginia Woolf,1915,VW_036,joy,45
"“I like walking in the Park alone; but not—with the dogs,” she
finished.",The Voyage Out,Virginia Woolf,1915,VW_038,joy,13
"“I shall enjoy walking with a man—is that what you mean?” said Rachel,
regarding Mrs. Dalloway with her large enquiring eyes.",The Voyage Out,Virginia Woolf,1915,VW_038,joy,21
"“That’s what you’re going to find out,” Clarissa laughed.",The Voyage Out,Virginia Woolf,1915,VW_038,joy,9
"“I find you easy to talk to,” said Rachel.",The Voyage Out,Virginia Woolf,1915,VW_039,joy,9
"“I am lonely,” she began.",The Voyage Out,Virginia Woolf,1915,VW_039,sadness,5
"She wiped it away, squeezed Rachel’s hand, and exclaimed: “How good life is!”",The Voyage Out,Virginia Woolf,1915,VW_039,joy,13
"Here Helen passed them, and seeing Rachel arm-in-arm with a comparative
stranger, looking excited, was amused, but at the same time slightly
irritated.",The Voyage Out,Virginia Woolf,1915,VW_039,joy,23
"“Are you
aware, Miss Vinrace, how much can be done to induce fine weather by
appropriate headdress?",The Voyage Out,Virginia Woolf,1915,VW_039,surprise,17
"“She can’t bear our beloved
Jane.”",The Voyage Out,Virginia Woolf,1915,VW_040,sadness,6
"“I’m afraid he’s right,” said Clarissa.",The Voyage Out,Virginia Woolf,1915,VW_040,fear,6
‘There—’” She read on in a light humorous voice.,The Voyage Out,Virginia Woolf,1915,VW_040,joy,9
"“What’s happened to everyone?
Clarissa?”",The Voyage Out,Virginia Woolf,1915,VW_041,surprise,5
"We were happy, Miss Vinrace, and we were young—gifts
which make for wisdom.”",The Voyage Out,Virginia Woolf,1915,VW_041,joy,13
"“There you ask too much, Miss Vinrace,” said Richard playfully.",The Voyage Out,Virginia Woolf,1915,VW_041,joy,10
"It became painful to Rachel to be one of those who write Keats and
Shelley.",The Voyage Out,Virginia Woolf,1915,VW_042,sadness,15
"If I have preserved mine, as I am
thankful to say that in great measure I have, it is due to the fact
that I have been able to come home to my wife in the evening and to
find that she has spent her day in calling, music, play with the
children, domestic duties—what you will; her illusions have not been
destroyed.",The Voyage Out,Virginia Woolf,1915,VW_042,joy,63
She gives me courage to go on.,The Voyage Out,Virginia Woolf,1915,VW_042,joy,7
"“I can’t think,” Rachel exclaimed, “how any one does it!”",The Voyage Out,Virginia Woolf,1915,VW_042,surprise,10
"I hope that I never shall meet
such a woman.",The Voyage Out,Virginia Woolf,1915,VW_043,joy,10
"If only more people
would realise that, Miss Vinrace, there would be fewer of your old
widows in solitary lodgings!”",The Voyage Out,Virginia Woolf,1915,VW_043,surprise,20
"But Helen was really wondering why Rachel, sitting silent, looked so
queer and flushed.",The Voyage Out,Virginia Woolf,1915,VW_045,surprise,14
"Still, dinner was uneasy,
and directly the ladies were alone Clarissa owned that she would be
better off in bed, and went, smiling bravely.",The Voyage Out,Virginia Woolf,1915,VW_045,joy,24
"“Disgusting,” she whispered, indicating the basins.",The Voyage Out,Virginia Woolf,1915,VW_046,disgust,6
"Relics of humour
still played over her face like moonshine.",The Voyage Out,Virginia Woolf,1915,VW_046,joy,10
"“She’s had an awful
time of it.",The Voyage Out,Virginia Woolf,1915,VW_048,sadness,7
"“Yes,” said Helen, “he’s always been like that.”",The Voyage Out,Virginia Woolf,1915,VW_048,joy,8
“How strange to be a woman!,The Voyage Out,Virginia Woolf,1915,VW_050,surprise,6
"Holding her
tight, he kissed her passionately, so that she felt the hardness of his
body and the roughness of his cheek printed upon hers.",The Voyage Out,Virginia Woolf,1915,VW_050,joy,25
"Her head was cold, her knees shaking, and the physical pain of
the emotion was so great that she could only keep herself moving above
the great leaps of her heart.",The Voyage Out,Virginia Woolf,1915,VW_050,sadness,31
"She became peaceful too, at the same time
possessed with a strange exultation.",The Voyage Out,Virginia Woolf,1915,VW_050,joy,13
"Light showed her the familiar things: her clothes, fallen off the
chair; the water jug gleaming white; but the horror did not go at once.",The Voyage Out,Virginia Woolf,1915,VW_051,fear,25
"I _do_ like you,” she
murmured as she kissed Rachel.",The Voyage Out,Virginia Woolf,1915,VW_051,joy,10
"“I like him,” said Rachel.",The Voyage Out,Virginia Woolf,1915,VW_052,joy,5
"“I was a good deal excited,” she continued.",The Voyage Out,Virginia Woolf,1915,VW_053,joy,8
"“But I didn’t mind till afterwards; when—” she paused, and saw the
figure of the bloated little man again—“I became terrified.”",The Voyage Out,Virginia Woolf,1915,VW_053,fear,21
From the look in her eyes it was evident she was again terrified.,The Voyage Out,Virginia Woolf,1915,VW_053,fear,13
"She had good reason to fear that Rachel had made herself
incredibly ridiculous.",The Voyage Out,Virginia Woolf,1915,VW_053,fear,13
"“Mr. Pepper,” said Rachel ironically.",The Voyage Out,Virginia Woolf,1915,VW_053,joy,5
"“Tell me,” she said suddenly, “what are those women in Piccadilly?”",The Voyage Out,Virginia Woolf,1915,VW_053,surprise,11
"“It _is_ terrifying—it _is_ disgusting,” Rachel asserted, as if she
included Helen in the hatred.",The Voyage Out,Virginia Woolf,1915,VW_053,disgust,15
"“But—” “I did like him,” Rachel mused, as if speaking to herself.",The Voyage Out,Virginia Woolf,1915,VW_053,joy,12
"Her mind was working very quickly, inconsistently
and painfully.",The Voyage Out,Virginia Woolf,1915,VW_054,sadness,9
"“I liked him, and I liked being kissed,” she answered, as if that only
added more difficulties to her problem.",The Voyage Out,Virginia Woolf,1915,VW_054,joy,20
"Helen was surprised to see how genuine both shock and problem were, but
she could think of no way of easing the difficulty except by going on
talking.",The Voyage Out,Virginia Woolf,1915,VW_054,surprise,28
"“I quite agree,” she said, “that people are very interesting; only—”
Rachel, putting her finger between the pages, looked up enquiringly.",The Voyage Out,Virginia Woolf,1915,VW_055,joy,21
